new_id,ori_id,speaker,utterance
n_id.1,o_id.1,소위원장 길정우,의석을 정돈해 주시기 바랍니다.  
n_id.2,o_id.1,소위원장 길정우,성원이 되었으므로 제322회 국회(임시회) 여성가족위원회 제1차 일본군위안부문제대책소위원회를 개의합니다. 
n_id.3,o_id.1,소위원장 길정우,"금요일이고 또 여러 가지로 바쁘실 텐데도 불구하고 회의에 참석해 주신 위원님들, 감사드립니다."
n_id.4,o_id.1,소위원장 길정우,오늘 회의는 그동안 일본군위안부 문제 대책과 관련해서 어떠한 주요현안이 있었는지 또 어떠한 활동이 있었는지 이런 것을 정부 측으로부터 간단히 보고를 먼저 받은 다음에 앞으로 저희 소위원회 운영 활동방향에 관련해서 여러 위원님들과 함께 의견을 나누는 것으로 하겠습니다. 
n_id.5,o_id.2,소위원장 길정우,그러면 의사일정 제1항 정부의 현안보고를 상정합니다. 
n_id.6,o_id.2,소위원장 길정우,여성가족부 소관사항에 대해서 이복실 여성가족부차관님 보고해 주시기 바랍니다. 
n_id.7,o_id.3,김현숙 위원,공개로 하세요?
n_id.8,o_id.4,소위원장 길정우,어떻게 하시겠어요?
n_id.9,o_id.5,여성가족부차관 이복실,소위원장님 하시는 대로 하겠습니다. 
n_id.10,o_id.6,소위원장 길정우,비공개로 할 필요가 있어요? 
n_id.11,o_id.7,인재근 위원,현안보고까지만...... 
n_id.12,o_id.8,소위원장 길정우,"예, 현안보고까지는 그냥 듣지요. 그리고 현안보고 가운데서 비공개로 했으면 좋을 사항은 보고에서 빼시면 되잖아요, 그렇지요? "
n_id.13,o_id.9,여성가족부차관 이복실,예.
n_id.14,o_id.10,소위원장 길정우,그러면 먼저 여성가족부차관으로부터 보고를 받도록 하겠습니다. 
n_id.15,o_id.11,여성가족부차관 이복실,먼저 2014년 앙굴렘국제만화축제 한국만화기획전 결과보고를 드리겠습니다. 
n_id.16,o_id.11,여성가족부차관 이복실,"일본정부의 위안부 문제에 대한 잇따른 왜곡 발언과 과거사실 부정에 대해 국제사회에 진실을 바로 알려 국제적 공감대를 확산하고, 국제사회 공조와 적극적인 지지를 이끌어 내어 일본정부의 문제해결 촉구 계기를 마련하기 위해서 2014년 앙굴렘국제만화페스티벌 한국만화기획전을 후원하게 되었습니다. "
n_id.17,o_id.11,여성가족부차관 이복실,한국만화영상진흥원에서 주관을 하였고 '지지 않는 꽃'이라는 주제로 금년 1월 30일부터 2월 2일까지 4일간 프랑스 앙굴렘시 극장 1층 전시실 및 로비에서 전시되었습니다. 
n_id.18,o_id.11,여성가족부차관 이복실,"내용은 과거·현재·미래 3개 섹션으로 구성이 되었고, 김광성 등 만화가 19명의 신규·기존 만화(스토리 8편, 카툰 9점, 설치미술 3점) 작품을 전시했습니다. 그리고 위안부 피해자 관련 영상물 4편을 상영하였습니다. "
n_id.19,o_id.11,여성가족부차관 이복실,주요행사로는 1월 30일 11시부터 11시 50분까지 앙굴렘극장 전시장 입구에서 개막식을 개최하였습니다. 여성가족부장관님과 앙굴렘시 필립 라보 시장이 참석을 하였습니다. 
