new_id,ori_id,speaker,utterance,note
n_id.1,o_id.1,소위원장 한정애,의석을 정돈해 주시기 바랍니다. ,
n_id.2,o_id.1,소위원장 한정애,성원이 되었으므로 제370회 국회(임시회) 제1차 환경소위원회를 개의하겠습니다.,
n_id.3,o_id.1,소위원장 한정애,여기까지만 공개하고 이제 비공개로 전환하도록 하겠습니다. 그래야 언론인들도 좀 편해지시니까. ,
n_id.4,o_id.1,소위원장 한정애,바쁘신 가운데도 회의에 참석해 주신 위원님 여러분 그리고 정부 관계자 여러분께 감사의 말씀을 드립니다.,
n_id.5,o_id.1,소위원장 한정애,오늘 안건 심사 방식에 대하여 말씀드리겠습니다. ,
n_id.6,o_id.1,소위원장 한정애,소위 심사는 안건을 일괄 상정하여 주제별로 심의를 마친 다음에 의결하는 순서로 진행하도록 하겠습니다.,
n_id.7,o_id.1,소위원장 한정애,정부 측 관계자들께서는 발언 시에 위원장의 허가를 얻어 발언해 주시고 반드시 직위와 성명을 말씀해 주시기 바랍니다. 기록을 남겨야 하기 때문에 그렇다는 것 말씀을 드리도록 하겠습니다.,
n_id.8,o_id.1,소위원장 한정애,그러면 의사일정에 들어가도록 하겠습니다.,
n_id.9,o_id.2,임이자 위원,"위원장님, 의사진행발언 좀 하겠습니다.",
n_id.10,o_id.3,소위원장 한정애,상정하고 하시면 안 될까요?,
n_id.11,o_id.4,임이자 위원,"아니, 상정하기 전에......",
n_id.12,o_id.5,소위원장 한정애,예.,
n_id.13,o_id.6,임이자 위원,화평법하고 화관법이 올라왔는데 이건 좀 보류했다가 논의하는 게 어떨는지......,
n_id.14,o_id.7,소위원장 한정애,"예, 알겠습니다. ",
n_id.15,o_id.7,소위원장 한정애,"다른 위원님들, 특별히......",
n_id.16,o_id.8,신보라 위원,순서상 가다 보면......,
n_id.17,o_id.9,소위원장 한정애,오늘 어차피 거기까지 가지는 못할 것 같은데요. 그래도 상정 자체를 좀 뒤로 미루자는 말씀이시지요?,
n_id.18,o_id.10,임이자 위원,"예, 상정해 놓고 안 할 수는 없는 거니까.",
n_id.19,o_id.10,임이자 위원,일단은 화평법과 화관법은 우리가 좀 더 깊이 고민을 하고 상정했으면 싶습니다.,
n_id.20,o_id.11,소위원장 한정애,21항부터 35항까지네요.,
n_id.21,o_id.12,신창현 위원,왜 위원님이 발의하신 법안을 보류하자 하시는 거예요?,
n_id.22,o_id.13,임이자 위원,정서상......,
n_id.23,o_id.13,임이자 위원,상생물제법이야 해도 상관없겠지만......,
n_id.24,o_id.14,신창현 위원,그것은 상관없는데......,
n_id.25,o_id.15,임이자 위원,그러면 살생물제법까지는 하고요.,
n_id.26,o_id.16,신창현 위원,살생물제법은 하고 화평법·화관법만......,
n_id.27,o_id.17,임이자 위원,"예, 26항부터 36항까지는 좀 보류했으면 싶습니다. ",
n_id.28,o_id.18,소위원장 한정애,26항부터 35항까지?,
n_id.29,o_id.19,임이자 위원,"예, 35항까지.",
n_id.30,o_id.20,소위원장 한정애,알겠습니다. ,
n_id.31,o_id.21,소위원장 한정애,그러면 의사일정 제1항부터 25항까지 그리고 의사일정 제36항을 일괄하여 상정하도록 하겠습니다.,
n_id.32,o_id.21,소위원장 한정애,전문위원께서 소위 자료 중심으로 설명을 주셔야 하는데 지금 현재 자유한국당의 의총이 진행되는 관계로 한 30분 정도 정회하고 다시 속개하는 것으로 하실까요? 그 정도면......,
n_id.33,o_id.22,신보라 위원,설명만 듣고 내려가시지요.,
n_id.34,o_id.23,소위원장 한정애,그렇게 하시는 게 좋을 것 같아요. ,
n_id.35,o_id.23,소위원장 한정애,"이렇게 하시면 어떨까요? 지금 상정한 내용 중에 대기환경보전법하고 환경분야 시험, 기술 여기까지 전문위원 설명을 전체로 죽 들으시고 정부 측의 의견들을 좀 듣고 그리고 위원님들이 집중적으로 토론할 수 있게...... 그러면 토론하기 전에 정회를 하는 것으로 하겠습니다. ",(｢예｣ 하는 위원 있음)
n_id.36,o_id.23,소위원장 한정애,알겠습니다.,
n_id.37,o_id.23,소위원장 한정애,전문위원께서 소위 자료 중심으로 해서 설명해 주시기 바랍니다. ,
n_id.38,o_id.24,전문위원 윤광식,전문위원입니다.,
n_id.39,o_id.24,전문위원 윤광식,법안심사자료 1권입니다.,
n_id.40,o_id.24,전문위원 윤광식,1쪽부터 설명드리겠습니다.,
n_id.41,o_id.24,전문위원 윤광식,"1쪽, 김태년 의원님, 김동철 의원님, 신창현 의원님, 손금주 의원님, 윤상현 의원님, 우원식 의원님, 송옥주 의원님이 각각 대표발의한......",
n_id.42,o_id.25,임이자 위원,"전문위원님, 그냥 5쪽부터 하시면 돼요. ",
n_id.43,o_id.26,전문위원 윤광식,주요 내용을 생략하고 조문별 검토로 이렇게 말씀드리는 겁니까?,
n_id.44,o_id.27,신창현 위원,쟁점 중심으로만 설명해 주세요.,
n_id.45,o_id.28,전문위원 윤광식,그런데 지금 그렇게 접근하기는 사안이 좀 하기 때문에......,
n_id.46,o_id.29,소위원장 한정애,그러면 주요 내용이랑 해 주십시오.,
n_id.47,o_id.30,전문위원 윤광식,조문별로 조목조목 해야 될 것 같습니다.,
n_id.48,o_id.31,소위원장 한정애,예.,
n_id.49,o_id.32,임이자 위원,위원들이 다 숙지해 갖고 왔지. 그러니까...... ,
n_id.50,o_id.33,신창현 위원,이 정도는 아니까 주요 내용만......,
n_id.51,o_id.34,임이자 위원,"그래요, 성에 안 차시면 그렇게 하셔. 열심히 하시는데......",
n_id.52,o_id.35,신보라 위원,설명해 주세요.,
n_id.53,o_id.36,전문위원 윤광식,법안의 주요 내용부터 말씀드리겠습니다. ,
n_id.54,o_id.36,전문위원 윤광식,"김태년 의원님 안인데요. 사업자가 측정대행업자에게 측정을 대행하도록 하는 경우 측정값을 조작하는 등 측정 및 분석 결과에 영향을 미칠 수 있는 지시를 하여서는 아니 된다는 조항을 신설하고, 측정값 조작 등 부당한 요구를 할 경우 5년 이하의 징역이나 5000만 원 이하의 벌금 조항을 신설하여 오염물질 측정의 신뢰성을 제고하고 환경보호를 더욱 강화하자는 내용입니다.",
n_id.55,o_id.36,전문위원 윤광식,"김동철 의원님 안은 환경부장관은 대기오염물질의 배출원과 배출량 및 이의 산정에 사용된 계수 등 각종 정보 및 통계를 검증할 수 있는 체계를 구축하도록 하고, 사업자가 배출시설의 금지행위를 위반하거나 자가측정결과를 거짓으로 기록한 것이 두 차례 이상일 경우 30일 이상 조업정지를 명하고 방지시설의 설치가 면제된 사업자도 자가측정을 하도록 하며, 환경부장관 또는 시·도지사는 사업자가 대기오염물질 측정결과를 사실대로 기록했는지 여부를 수시로 점검하도록 하고, 오염물질을 측정하지 아니한 자 또는 측정결과를 거짓으로 기록하거나 기록·보존하지 아니한 자는 5년 이하의 징역이나 5000만 원 이하의 벌금을 과하도록 하는 내용입니다.",
n_id.56,o_id.36,전문위원 윤광식,"신창현 의원님 안은 초과부과금을 산정할 때 동일 시설이 배출부과금을 3회 이상 부과받을 때로부터 초과부과금의 10배 이내 범위에서 가중하여 산정하도록 하여 징벌적 부과금 제도를 도입하고자 하고, 사업자가 오염물질을 자가측정하는 과정에서 배출대행업자와 공모관계가 형성되는 것을 방지하기 위하여 측정대행업자를 환경부령으로 정하는 바에 따라 한국환경공단 등이 직접 지정하도록 하고, 측정결과를 거짓으로 기록하거나 기록·보존하지 아니한 자에게는 1년 이하의 징역이나 1000만 원 이하의 벌금을 부과하도록 하여 대기업의 도덕적 해이를 막고자 하는 내용입니다.",
n_id.57,o_id.36,전문위원 윤광식,"손금주 의원님 안은 사업자가 배출시설의 오염물질을 자가측정하거나 측정대행업자를 통해 측정하고자 할 때에는 환경부가 임의로 지정한 측정대행업자에게 이를 측정하도록 하고, 사업자와 측정대행업자는 오염물질 배출량이 배출허용기준을 초과했을 때에는 이를 환경부장관에게 의무적으로 보고토록 하고, 사업자가 배출허용기준 초과 보고 등을 이유로 측정대행업자에게 불이익한 처우를 할 수 없도록 하고, 오염물질을 측정하지 아니한 자 또는 측정결과를 거짓으로 기록하거나 기록·보존하지 아니한 자는 5년 이하의 징역이나 5000만 원 이하의 벌금에 처하도록 하면서 오염물질 배출 측정의 보고의무를 이행하지 않거나 배출허용기준 초과 보고 등을 이유로 측정대행업자에게 불이익한 처우를 한 자에게 500만 원 이하의 과태료를 부과하도록 하는 내용입니다.",
