SBRW2100000001,311국토(예산결산기금심사)소위02(12.11.7)
SBRW2100000002, 311교과(법안심사)소위03(12.9.24)
"	SBRW2100000003", 311법사(예산결산심사)소위03(12.11.21)
"	SBRW2100000004", 311법사(예산결산심사)소위04(12.12.3)
"	SBRW2100000005", 311외통(법안심사)소위03(12.11.19)
"	SBRW2100000006", 311재정(경제재정)소위03(12.9.24)
"	SBRW2100000007", 311재정(예산결산기금심사)소위03(12.11.6)
"	SBRW2100000008", 311재정(예산결산기금심사)소위08(12.11.15)
"	SBRW2100000009", 311재정(예산결산기금심사)소위09(12.11.20)
"	SBRW2100000010", 311행안(법안심사)소위02(12.9.19)
"	SBRW2100000011", 313문방(법안심사)소위01(13.2.15)
"	SBRW2100000012", 315국방(예산결산심사)소위01(13.4.23)
"	SBRW2100000013", 315국토(교통법안심사)소위01(13.4.23)
"	SBRW2100000014", 315여성(유엔협약이행정책심사)소위01(13.4.23)
"	SBRW2100000015", 315재정(예산결산기금심사)소위03(13.5.3)
"	SBRW2100000016", 315재정(조세)소위02(13.4.18)
"	SBRW2100000017", 315재정(조세개혁)소위01(13.4.24)
"	SBRW2100000018", 315환노(법안심사)소위02(13.4.17)(공청회)
"	SBRW2100000019", 316교문(법안심사)소위01(13.6.24)
"	SBRW2100000020", 316국방(국방운영개선)소위01(13.6.4)
"	SBRW2100000021", 316법사(법안심사제1)소위04(13.6.28)
"	SBRW2100000022", 316법사(법안심사제2)소위02(13.6.28)
"	SBRW2100000023", 316환노(법안심사)소위01(13.6.20)
"	SBRW2100000024", 317여성(일본군위안부대책)소위01(13.7.12)
"	SBRW2100000025", 320교문(청원심사)소위01(13.11.18)
"	SBRW2100000026", 320국토(교통법안심사)소위01(13.10.8)
"	SBRW2100000027", 320국토(교통법안심사)소위05(13.12.9)
"	SBRW2100000028", 320국토(예산결산기금심사)소위03(13.12.5)
"	SBRW2100000029", 320국토(청원심사)소위01(13.10.8)
"	SBRW2100000030", 320안행(법안심사)소위04(13.12.10)
"	SBRW2100000031", 320재정(예산결산기금심사)소위03(13.12.10)
"	SBRW2100000032", 320재정(조세)소위02(13.12.5)
"	SBRW2100000033", 321교문(법안심사)소위01(13.12.19)
"	SBRW2100000034", 321국방(법률안심사)소위02(13.12.30)
"	SBRW2100000035", 321국토(국토법안심사)소위01(13.12.26)
"	SBRW2100000036", 321법사(예산결산심사)소위02(13.12.12)
"	SBRW2100000037", 321복지(예산결산심사)소위02(13.12.12)
"	SBRW2100000038", 321여성(법안심사)소위02(13.12.16)
"	SBRW2100000039", 322여성(일본군위안부대책)소위01(14.2.7)
"	SBRW2100000040", 322국방(법률안심사)소위03(14.2.26)
"	SBRW2100000041", 322법사(법안심사제1)소위02(14.2.25)
"	SBRW2100000042", 322외통(법안심사)소위02(14.2.20)
"	SBRW2100000043", 322재정(경제재정)소위01(14.2.17)
"	SBRW2100000044", 323국방(법률안심사)소위02(14.4.18)
"	SBRW2100000045", 323국토(철도산업발전)소위03(14.4.16)
"	SBRW2100000046", 323국토(청원심사)소위01(14.4.11)
"	SBRW2100000047", 323복지(법안심사)소위03(14.4.16)(공청회)
"	SBRW2100000048", 323환노(노사정)소위01(14.4.7)
"	SBRW2100000049", 324국방(법률안심사)소위01(14.4.21)
"	SBRW2100000050", 324법사(법안심사제2)소위01(14.4.22)
"	SBRW2100000051", 324재정(조세개혁)소위01(14.4.22)
"	SBRW2100000052", 324환노(법안심사)소위01(14.4.21)
"	SBRW2100000053", 326국방(법률안심사)소위01(14.7.17)
"	SBRW2100000054", 326법사(법안심사제1)소위02(14.7.11)
"	SBRW2100000055", 326법사(법안심사제2)소위01(14.7.15)
"	SBRW2100000056", 326재정(2013회계연도결산심사)소위01(14.7.14)
"	SBRW2100000057", 327복지(예산결산심사)소위02(14.7.24)
"	SBRW2100000058", 329환노(법안심사)소위06(14.12.8)
"	SBRW2100000059", 329국방(예산결산심사)소위01(14.11.7)
"	SBRW2100000060", 329법사(법안심사제1)소위01(14.11.6)
"	SBRW2100000061", 329재정(예산결산기금심사)소위03(14.11.11)
"	SBRW2100000062", 330국토(국토법안심사)소위01(14.12.23)
"	SBRW2100000063", 330법사(법안심사제1)소위02(15.1.8)
"	SBRW2100000064", 330외통(법안심사)소위01(15.1.6)
"	SBRW2100000065", 331법사(법안심사제2)소위01(15.2.24)
"	SBRW2100000066", 332교문(법안심사)소위02(15.4.30)
"	SBRW2100000067", 332법사(법안심사제1)소위02(15.5.1)
"	SBRW2100000068", 332법사(법안심사제1)소위03(15.5.4)
"	SBRW2100000069", 332안행(법안심사)소위04(15.4.30)
"	SBRW2100000070", 332외통(법안심사)소위01(15.4.28)
"	SBRW2100000071", 332재정(조세)소위02(15.4.27)
"	SBRW2100000072", 332재정(조세)소위03(15.4.29)
"	SBRW2100000073", 332환노(법안심사)소위02(15.4.28)
"	SBRW2100000074", 334국방(법률안심사)소위03(15.7.1)
"	SBRW2100000075", 334국방(예산결산심사)소위04(15.7.7)(비공개포함)
"	SBRW2100000076", 334안행(예산결산기금심사)소위02(15.7.3)
"	SBRW2100000077", 334외통(예산결산기금심사)소위01(15.7.2)
"	SBRW2100000078", 334외통(예산결산기금심사)소위02(15.7.3)
"	SBRW2100000079", 334재정(조세)소위01(15.7.2)
"	SBRW2100000080", 335법사(법안심사제2)소위01(15.7.21)
"	SBRW2100000081", 337국방(예산결산심사)소위01(15.10.20)
"	SBRW2100000082", 337국방(청원심사)소위01(15.11.18)
"	SBRW2100000083", 337법사(예산결산심사)소위03(15.10.28)
"	SBRW2100000084", 337복지(보육제도개선)소위03(15.11.27)
"	SBRW2100000085", 337외통(법안심사)소위01(15.10.29)
"	SBRW2100000086", 337재정(예산결산기금심사)소위02(15.10.23)(비공개포함)
"	SBRW2100000087", 337재정(조세)소위11(15.11.30)
"	SBRW2100000088", 340국방(법률안심사)소위01(16.2.16)
"	SBRW2100000089", 343외통(예산결산기금심사)소위01(폐)(16.7.12)
"	SBRW2100000090", 343외통(예산결산기금심사)소위02(폐)(16.7.13)
"	SBRW2100000091", 346교문(예산결산기금심사)소위08(16.11.16.)
"	SBRW2100000092", 346기재(경제재정)소위01(16.11.8.)
"	SBRW2100000093", 346기재(예산결산기금심사)소위02(16.11.4.)
"	SBRW2100000094", 346기재(조세)소위08(16.11.28.)
"	SBRW2100000095", 346복지(예산결산심사)소위04(16.10.31.)
"	SBRW2100000096", 346외통(예산.결산.기금심사)소위03(16.11.2.)
"	SBRW2100000097", 348법사(법안심사제1)소위01(17.1.18.)
"	SBRW2100000098", 349국방(법률안심사)소위02(17.2.13.)(공청회)
"	SBRW2100000099", 349법사(법안심사제1)소위02(17.2.27.)
"	SBRW2100000100", 349환노(고용노동)소위02(17.3.2.)
"	SBRW2100000101", 350국방(법률안심사)소위01(17.3.14.)
"	SBRW2100000102", 350국토(국토법안심사)소위01(17.3.23.)
"	SBRW2100000103", 350기재(경제재정)소위01(17.3.23.)
"	SBRW2100000104", 350안행(안전및선거법심사)소위01(17.3.24.)
"	SBRW2100000105", 350안행(행정및인사법심사)소위01(17.3.23.)
"	SBRW2100000106", 353기재(조세)소위01(17.8.22.)
"	SBRW2100000107", 354여성(법안심사)소위01(17.9.18.)(공청회)
"	SBRW2100000108", 354여성(예산결산심사)소위02(17.11.20.)
"	SBRW2100000109", 354외통(법안심사)소위03(17.11.21.)
"	SBRW2100000110", 354외통(법안심사)소위05(17.11.29.)
"	SBRW2100000111", 354환노(고용노동)소위05(17.11.28.)
"	SBRW2100000112", 355교문(교육법안심사)소위01(17.12.19.)
"	SBRW2100000113", 355교문(문화체육관광법안심사)소위01(17.12.19.)
"	SBRW2100000114", 356여성(국제규약점검)소위01(18.2.13.)
"	SBRW2100000115", 358행안(안전및선거법심사)소위01(18.3.27.)
"	SBRW2100000116", 359환노(고용노동)소위01(18.4.11.)(비공개포함)
"	SBRW2100000117", 360국토(교통법안심사)소위01(18.5.24.)
"	SBRW2100000118", 363기재(경제재정)소위02(18.8.29.)
"	SBRW2100000119", 363법사(법안심사제1)소위01(18.8.28.)
"	SBRW2100000120", 363복지(예산결산심사)소위02(18.8.28.)
"	SBRW2100000121", 364국방(병역특례제도개선)소위02(18.11.29.)
"	SBRW2100000122", 364국토(국토법안심사)소위04(18.12.07.)(공청회)
"	SBRW2100000123", 364문체(법안심사)소위02(18.9.12.)
"	SBRW2100000124", 364법사(법안심사제2)소위01(18.11.12.)
"	SBRW2100000125", 364여성(법안심사)소위02(18.11.9.)
"	SBRW2100000126", 364외통(법안심사)소위04(18.12.6.)
"	SBRW2100000127", 364외통(청원심사)소위01(18.11.22.)
"	SBRW2100000128", 365교육(법안심사)소위02(18.12.26.)
"	SBRW2100000129", 365국방(병역특례제도개선)소위02(18.12.27.)
"	SBRW2100000130", 365행안(법안심사)소위01(18.12.26.)
"	SBRW2100000131", 367국방(병역특례제도개선)소위01(19.3.25.)
"	SBRW2100000132", 367기재(조세)소위01(19.3.28.)
"	SBRW2100000133", 367행안(법안심사)소위01(19.3.8.)
"	SBRW2100000134", 367환노(고용노동)소위02(19.3.19.)
"	SBRW2100000135", 368행안(법안심사)소위01(19.4.23.)
"	SBRW2100000136", 368행안(제천화재관련평가)소위01(폐)(19.5.9.)
"	SBRW2100000137", 369교육(법안심사)소위01(19.6.26.)
"	SBRW2100000138", 369교육(법안심사)소위03(19.7.11.)
"	SBRW2100000139", 369교육(안건조정)위원회01(19.7.8.)
"	SBRW2100000140", 369국토(교통법안심사)소위02(19.7.16.)
"	SBRW2100000141", 369기재(예산결산기금심사)소위01(19.7.15.)
"	SBRW2100000142", 369여성(법안심사)소위02(19.6.27.)
"	SBRW2100000143", 369행안(제천화재관련평가)소위02(19.7.11.)
"	SBRW2100000144", 370국토(교통법안심사)소위01(19.8.22.)
"	SBRW2100000145", 370환노(환경)소위01(19.8.21.)
"	SBRW2100000146", 371국방(법률안심사)소위02(19.9.20.)
"	SBRW2100000147", 371국방(법률안심사)소위05(19.11.18.)
"	SBRW2100000148", 371외통(미주)소위01(19.11.12.)
"	SBRW2100000149", 371외통(법안심사)소위02(19.11.21.)
"	SBRW2100000150", 371외통(신남방)소위01(19.11.13.)
"	SBRW2100000151", 371외통(예산.결산.기금심사)소위01(19.9.17.)
"	SBRW2100000152", 371외통(유럽.아프리카)소위01(19.11.18.)
"	SBRW2100000153", 371행안(안건조정)위원회02(19.9.23.)
"	SBRW2100000154", 371환노(예산결산기금심사)소위05(19.11.7.)
"	SBRW2100000155", 372환노(환경)소위02(19.12.12.)
"	SBRW2100000156", 376기재(예산결산기금심사)소위01(20.3.11.)
"	SBRW2100000157", 376행안(법안심사)소위01(20.3.4.)
"	SBRW2100000158", 376환노(예산결산기금심사)소위01(20.3.10.)
"	SBRW2100000159", 377법사(법안심사제1)소위01(20.4.28.)
"	SBRW2100000160", 377행안(예산.결산및기금심사)소위01(20.4.28.)
"
",
